Fecha_Corrida,Scraper,Canal,Marca,Season,Search_Term,Nike_Visibility,Type,Category,Level _1,Level_2,Level_3,Division
2026-08-09,retail_media_v8_search,Moov,Nike,FA26,botines de futbol,0.5,search,FOOTBALL/SOCCER,,,,FOOTWEAR DIVISION
2026-08-09,retail_media_v8_search,Moov,Adidas,FA26,botines de futbol,0.0,search,FOOTBALL/SOCCER,,,,FOOTWEAR DIVISION
2026-08-09,retail_media_v8_search,Moov,Puma,FA26,botines de futbol,0.0,search,FOOTBALL/SOCCER,,,,FOOTWEAR DIVISION
2026-08-09,retail_media_v8_search,Moov,Nike,FA26,botines futbol hombre,0.5,search,FOOTBALL/SOCCER,,,,FOOTWEAR DIVISION
2026-08-09,retail_media_v8_search,Moov,Adidas,FA26,botines futbol hombre,0.0,search,FOOTBALL/SOCCER,,,,FOOTWEAR DIVISION
2026-08-09,retail_media_v8_search,Moov,Puma,FA26,botines futbol hombre,0.0,search,FOOTBALL/SOCCER,,,,FOOTWEAR DIVISION
2026-08-09,retail_media_v8_search,Moov,Nike,FA26,botines futsal,0.5,search,FOOTBALL/SOCCER,,,,FOOTWEAR DIVISION
2026-08-09,retail_media_v8_search,Moov,Adidas,FA26,botines futsal,0.0,search,FOOTBALL/SOCCER,,,,FOOTWEAR DIVISION
2026-08-09,retail_media_v8_search,Moov,Puma,FA26,botines futsal,0.0,search,FOOTBALL/SOCCER,,,,FOOTWEAR DIVISION
2026-08-09,retail_media_v8_search,Moov,Nike,FA26,botines sala,0.5,search,FOOTBALL/SOCCER,,,,FOOTWEAR DIVISION
2026-08-09,retail_media_v8_search,Moov,Adidas,FA26,botines sala,0.0,search,FOOTBALL/SOCCER,,,,FOOTWEAR DIVISION
2026-08-09,retail_media_v8_search,Moov,Puma,FA26,botines sala,0.0,search,FOOTBALL/SOCCER,,,,FOOTWEAR DIVISION
2026-08-09,retail_media_v8_search,Moov,Nike,FA26,buzo deportivo,0.0,search,SPORTSWEAR,,,,APPAREL DIVISION
2026-08-09,retail_media_v8_search,Moov,Adidas,FA26,buzo deportivo,0.0,search,SPORTSWEAR,,,,APPAREL DIVISION
2026-08-09,retail_media_v8_search,Moov,Puma,FA26,buzo deportivo,0.5,search,SPORTSWEAR,,,,APPAREL DIVISION
2026-08-09,retail_media_v8_search,Moov,Nike,FA26,campera deportiva,0.0,search,SPORTSWEAR,,,,APPAREL DIVISION
2026-08-09,retail_media_v8_search,Moov,Adidas,FA26,campera deportiva,0.0,search,SPORTSWEAR,,,,APPAREL DIVISION
2026-08-09,retail_media_v8_search,Moov,Puma,FA26,campera deportiva,0.5,search,SPORTSWEAR,,,,APPAREL DIVISION
2026-08-09,retail_media_v8_search,Moov,Nike,FA26,medias deportivas,0.5,search,SPORTSWEAR,,,,EQUIPMENT DIVISION
2026-08-09,retail_media_v8_search,Moov,Adidas,FA26,medias deportivas,0.05,search,SPORTSWEAR,,,,EQUIPMENT DIVISION
2026-08-09,retail_media_v8_search,Moov,Puma,FA26,medias deportivas,0.4,search,SPORTSWEAR,,,,EQUIPMENT DIVISION
2026-08-09,retail_media_v8_search,Moov,Nike,FA26,mochila deportiva,0.45,search,SPORTSWEAR,,,,EQUIPMENT DIVISION
2026-08-09,retail_media_v8_search,Moov,Adidas,FA26,mochila deportiva,0.15,search,SPORTSWEAR,,,,EQUIPMENT DIVISION
2026-08-09,retail_media_v8_search,Moov,Puma,FA26,mochila deportiva,0.25,search,SPORTSWEAR,,,,EQUIPMENT DIVISION
2026-08-09,retail_media_v8_search,Moov,Nike,FA26,remera deportiva,0.0,search,SPORTSWEAR,,,,APPAREL DIVISION
2026-08-09,retail_media_v8_search,Moov,Adidas,FA26,remera deportiva,0.0,search,SPORTSWEAR,,,,APPAREL DIVISION
2026-08-09,retail_media_v8_search,Moov,Puma,FA26,remera deportiva,0.0,search,SPORTSWEAR,,,,APPAREL DIVISION
2026-08-09,retail_media_v8_search,Moov,Nike,FA26,ropa deportiva,0.0,search,SPORTSWEAR,,,,APPAREL DIVISION
2026-08-09,retail_media_v8_search,Moov,Adidas,FA26,ropa deportiva,0.0,search,SPORTSWEAR,,,,APPAREL DIVISION
2026-08-09,retail_media_v8_search,Moov,Puma,FA26,ropa deportiva,0.0,search,SPORTSWEAR,,,,APPAREL DIVISION
2026-08-09,retail_media_v8_search,Moov,Nike,FA26,short deportivo,0.0,search,SPORTSWEAR,,,,APPAREL DIVISION
2026-08-09,retail_media_v8_search,Moov,Adidas,FA26,short deportivo,0.0,search,SPORTSWEAR,,,,APPAREL DIVISION
2026-08-09,retail_media_v8_search,Moov,Puma,FA26,short deportivo,0.0,search,SPORTSWEAR,,,,APPAREL DIVISION
2026-08-09,retail_media_v8_search,Moov,Nike,FA26,sneakers,0.2,search,SPORTSWEAR,,,,FOOTWEAR DIVISION
2026-08-09,retail_media_v8_search,Moov,Adidas,FA26,sneakers,0.65,search,SPORTSWEAR,,,,FOOTWEAR DIVISION
2026-08-09,retail_media_v8_search,Moov,Puma,FA26,sneakers,0.0,search,SPORTSWEAR,,,,FOOTWEAR DIVISION
2026-08-09,retail_media_v8_search,Moov,Nike,FA26,zapatillas basquet,0.55,search,BASKETBALL,,,,FOOTWEAR DIVISION
2026-08-09,retail_media_v8_search,Moov,Adidas,FA26,zapatillas basquet,0.35,search,BASKETBALL,,,,FOOTWEAR DIVISION
2026-08-09,retail_media_v8_search,Moov,Puma,FA26,zapatillas basquet,0.05,search,BASKETBALL,,,,FOOTWEAR DIVISION
2026-08-09,retail_media_v8_search,Moov,Nike,FA26,zapatillas blancas,0.2,search,SPORTSWEAR,,,,FOOTWEAR DIVISION
2026-08-09,retail_media_v8_search,Moov,Adidas,FA26,zapatillas blancas,0.7,search,SPORTSWEAR,,,,FOOTWEAR DIVISION
2026-08-09,retail_media_v8_search,Moov,Puma,FA26,zapatillas blancas,0.05,search,SPORTSWEAR,,,,FOOTWEAR DIVISION
2026-08-09,retail_media_v8_search,Moov,Nike,FA26,zapatillas casual,0.0,search,SPORTSWEAR,,,,FOOTWEAR DIVISION
2026-08-09,retail_media_v8_search,Moov,Adidas,FA26,zapatillas casual,0.0,search,SPORTSWEAR,,,,FOOTWEAR DIVISION
2026-08-09,retail_media_v8_search,Moov,Puma,FA26,zapatillas casual,0.0,search,SPORTSWEAR,,,,FOOTWEAR DIVISION
2026-08-09,retail_media_v8_search,Moov,Nike,FA26,zapatillas crossfit,0.2,search,OTHER,,,,FOOTWEAR DIVISION
2026-08-09,retail_media_v8_search,Moov,Adidas,FA26,zapatillas crossfit,0.65,search,OTHER,,,,FOOTWEAR DIVISION
2026-08-09,retail_media_v8_search,Moov,Puma,FA26,zapatillas crossfit,0.0,search,OTHER,,,,FOOTWEAR DIVISION
2026-08-09,retail_media_v8_search,Moov,Nike,FA26,zapatillas entrenamiento,0.2,search,OTHER,,,,FOOTWEAR DIVISION
2026-08-09,retail_media_v8_search,Moov,Adidas,FA26,zapatillas entrenamiento,0.65,search,OTHER,,,,FOOTWEAR DIVISION
2026-08-09,retail_media_v8_search,Moov,Puma,FA26,zapatillas entrenamiento,0.0,search,OTHER,,,,FOOTWEAR DIVISION
2026-08-09,retail_media_v8_search,Moov,Nike,FA26,zapatillas gym,0.0,search,OTHER,,,,FOOTWEAR DIVISION
2026-08-09,retail_media_v8_search,Moov,Adidas,FA26,zapatillas gym,0.0,search,OTHER,,,,FOOTWEAR DIVISION
2026-08-09,retail_media_v8_search,Moov,Puma,FA26,zapatillas gym,0.5,search,OTHER,,,,FOOTWEAR DIVISION
2026-08-09,retail_media_v8_search,Moov,Nike,FA26,zapatillas negras,0.2,search,SPORTSWEAR,,,,FOOTWEAR DIVISION
2026-08-09,retail_media_v8_search,Moov,Adidas,FA26,zapatillas negras,0.65,search,SPORTSWEAR,,,,FOOTWEAR DIVISION
2026-08-09,retail_media_v8_search,Moov,Puma,FA26,zapatillas negras,0.0,search,SPORTSWEAR,,,,FOOTWEAR DIVISION
2026-08-09,retail_media_v8_search,Moov,Nike,FA26,zapatillas ninos,0.15,search,YOUNG ATHLETES,,,,FOOTWEAR DIVISION
2026-08-09,retail_media_v8_search,Moov,Adidas,FA26,zapatillas ninos,0.45,search,YOUNG ATHLETES,,,,FOOTWEAR DIVISION
2026-08-09,retail_media_v8_search,Moov,Puma,FA26,zapatillas ninos,0.35,search,YOUNG ATHLETES,,,,FOOTWEAR DIVISION
